Trt,Year,Cow Id,Date,Total_dist,Day_dist,NPre_dist,NPost_dist,Avg_speed,Day_avg_speed,NPre_avg_speed,NPost_avg_speed,Total_Siniosity,Day_Siniosity,Pre_Siniosity,Post_Siniosity,All_Wood,Day_Wood,Pre_Wood,Post_Wood,Cum_PPT_in,Act_PPT_in,Temp_c,Wind_Degree,Wind_mph,Lunar
Heavy,2005,4179,3/3/2005,6009.656776094595,4979.888988729226,554.528696479174,475.2390908861991,4.173372761176802,7.063672324438619,1.4218684525107024,1.3775046112643452,0.07744041506284745,0.12025084358701581,0.09492128466619035,0.21382245302873468,0.0,0.0,0.0,0.0,4.7,0,5.4,300,7,0.5
Heavy,2005,4179,3/4/2005,5484.141772079539,4540.048027095699,513.31391192993,430.77983305391075,3.8084317861663464,6.439784435596736,1.3161895177690512,1.2486371972577124,0.009672353251138134,0.03290088782166006,0.17278147618137568,0.2682902646360134,0.0,0.0,0.0,0.0,4.7,0,5.9,278,8.3,0.38
Heavy,2005,4179,3/5/2005,5997.992095932743,4933.8299168863,675.6311097062139,388.53106934022554,4.165272288842183,6.9983403076401425,1.732387460785164,1.1261770125803638,0.029439317919794445,0.05878033284016394,0.15961966562093494,0.12587808690136992,1.3888888888888888,2.8368794326241136,0.0,0.0,4.7,0,6.3,319,6,0.27
Heavy,2005,4179,3/6/2005,6026.1548060175155,4211.135700610081,637.4426923145642,1177.5764130928715,4.184829726401053,5.973242128524937,1.6344684418322157,3.413264965486584,0.058594128489084546,0.1799692462018184,0.08914181986475839,0.45602458351395003,3.8596491228070176,7.857142857142857,0.0,0.0,4.75,0.05,5,143,4.8,0.17
Heavy,2005,4179,3/7/2005,5875.046722220386,4543.647808175005,717.6919143569074,613.7069996884727,4.07989355709749,6.444890508049652,1.8402356778382243,1.7788608686622398,0.05613939624304977,0.08847746139328819,0.0921409757784253,0.07840114436531216,12.237762237762238,2.877697841726619,0.0,44.927536231884055,4.94,0.19,5.2,263,6.5,0.09
Heavy,2005,4179,3/8/2005,5104.223017003565,3893.425597653191,580.2306447051177,630.5667746452557,3.5445993173635864,5.522589500217292,1.4877708838592762,1.8277297815804512,0.06538852873081237,0.06567873866773585,0.21182513569464373,0.03409671138507062,0.0,0.0,0.0,0.0,4.94,0,7.2,262,7,0.04
Heavy,2005,4179,3/9/2005,4623.9803781931805,3642.2275330353204,528.4680149988812,453.28483015897655,3.211097484856375,5.166280188702582,1.3550461923048236,1.3138690729245697,0.06415884113708761,0.08209612452676657,0.014525724713326143,0.03807890658737558,0.0,0.0,0.0,0.0,4.94,0,7.9,311,8.9,0.01
Heavy,2005,4179,3/10/2005,7188.915313786573,5947.745840925983,546.2925219277481,694.8769509328404,4.9923023012406755,8.436518923299268,1.4007500562249953,2.014136089660407,0.0644615307126729,0.09397762839435532,0.2684774114822206,0.09869647475576317,4.166666666666666,0.0,0.0,17.391304347826086,4.94,0,7.3,281,6.5,0
Heavy,2005,4179,3/11/2005,4729.06531188212,3489.266732195799,576.4641613239743,663.3344183623469,3.2840731332514723,4.949314513752906,1.4781132341640366,1.9227084590212955,0.1863094599188876,0.2470950218146761,0.09449056264509077,0.17461773919931844,0.0,0.0,0.0,0.0,4.94,0,10,187,7.4,0.03
Heavy,2005,4179,3/12/2005,5519.641012020111,3975.2997926824855,571.7872523247421,972.5539670128792,3.833084036125077,5.6387231101879225,1.466121159807031,2.8189970058344325,0.010719327169791688,0.06874863359041333,0.5093660471836745,0.36351391200279815,0.0,0.0,0.0,0.0,4.94,0,7.9,235,7,0.07
Heavy,2005,4179,3/13/2005,5102.041412691947,3985.48920403328,344.1569579136319,772.3952507450334,3.5430843143694073,5.653176175933731,0.8824537382400818,2.23882681375372,0.14621473457051398,0.11695749993694095,0.3476658631131715,0.22682584669946237,0.0,0.0,0.0,0.0,4.94,0,13.7,280,12.5,0.14
Heavy,2005,4179,3/14/2005,4349.280829016834,2936.413075484699,786.9826450646584,625.8851084674773,3.020333909039468,4.165124929765531,2.017904218114509,1.8141597346883398,0.04504979501410452,0.09889772819677817,0.09203580660527472,0.05468466903604075,0.0,0.0,0.0,0.0,5.06,0.12,6.2,119,10.1,0.22
Heavy,2005,4179,3/15/2005,4569.364931562984,3249.216482025002,397.3282415590724,922.8202079789064,3.184226433144936,4.6088177050000025,1.0320214066469413,2.6748411825475547,0.1512768401232535,0.06612406032761212,0.15160773643117859,0.6185311212874917,0.0,0.0,0.0,0.0,5.08,0.02,-0.5,119,11.8,0.31
Heavy,2005,1006,2/19/2005,4203.115014736848,3181.816265981215,412.3852234986702,608.9135252569627,2.918829871345033,4.7489795014645,1.0082768300700984,1.6867410671938023,0.0026290046730892912,0.03782287143522301,0.5177518265775696,0.4708438705668028,0.0,0.0,0.0,0.0,4.28,0.05,4.2,162,4.3,0.83
Heavy,2005,1006,2/20/2005,6109.889357833839,4744.91262584585,653.4021938408092,711.5745381471775,4.242978720717944,7.081959143053507,1.5936638874166078,1.9765959392977153,0.12085702486854719,0.14988071929792765,0.3796506601025296,0.3437015830312259,0.0,0.0,0.0,0.0,4.29,0.01,9.2,249,10.1,0.9
Heavy,2005,1006,2/21/2005,5379.822235113394,3898.843225828262,455.91381510628815,1025.065194178841,3.73598766327319,5.819168993773525,1.1119849148933858,2.8474033171634474,0.04133603048700415,0.06618978485124939,0.33017536634061123,0.2705878556414643,0.3472222222222222,0.7462686567164178,0.0,0.0,4.29,0,6.6,263,11.8,0.95
Heavy,2005,1006,2/22/2005,4729.320196419887,3318.3810604875584,666.4579979537724,744.481137978557,3.2842501364026995,4.952807552966505,1.6255073120823718,2.0680031610515472,0.1350155631608122,0.14279701405779452,0.530532669445709,0.18317194929633646,0.0,0.0,0.0,0.0,4.29,0,7.4,273,7.3,0.98
Heavy,2005,1006,2/23/2005,7472.72437894726,5070.722883726087,1078.978007104193,1323.0234881169815,5.189391929824486,7.568243110038936,2.6316536758638853,3.6750652447693932,0.07283945978313106,0.08395719409913008,0.2937108476061829,0.3983915858938159,0.0,0.0,0.0,0.0,4.29,0,7.5,252,5.4,1
Heavy,2005,1006,2/24/2005,5638.99702050947,3918.5401827762207,1088.4015950969304,632.0552426363174,3.915970153131576,5.848567436979434,2.6546380368217815,1.7557090073231039,0.1511079560572068,0.19690544716156924,0.14339576789728545,0.2931446141889362,33.44947735191638,23.134328358208954,80.24691358024691,0.0,4.43,0.14,4.6,151,5.7,1
Heavy,2005,1006,2/25/2005,4674.5211702303595,3384.1035658803453,631.9896654223281,658.4279389276882,3.246195257104416,5.05090084459753,1.5414382083471418,1.828966497021356,0.06199254395687687,0.16241892183413256,0.028282918562875646,0.5042662259376673,0.0,0.0,0.0,0.0,4.44,0.01,-1.8,82,4.5,0.98
Heavy,2005,1006,2/26/2005,5224.1837862137045,3134.8389858550518,835.1747061319569,1254.1700942266946,3.6279054070928503,4.6788641579926145,2.037011478370627,3.483805817296374,0.07462700448226652,0.13406147977127178,0.2655506270100741,0.4705308185294291,0.0,0.0,0.0,0.0,4.7,0.26,0.1,137,3.4,0.94
Heavy,2005,1006,2/27/2005,6066.803776834849,4071.8810788107494,897.7980879858801,1097.124610038221,4.213058178357533,6.077434445986193,2.1897514341119027,3.04756836121728,0.03188358936290801,0.09041757061096124,0.19144905897979378,0.37847791219234395,0.0,0.0,0.0,0.0,4.7,0,2.6,271,5.7,0.88
Heavy,2005,1006,2/28/2005,5818.152061972205,4144.276430672163,893.2465148508863,780.6291164491585,4.040383376369586,6.185487209958452,2.1839768089263725,2.162407524789913,0.08946962371037395,0.08771720610379136,0.16707248566862223,0.13227359472071334,0.0,0.0,0.0,0.0,4.7,0,2.3,300,8,0.8
Heavy,2005,1006,3/1/2005,5268.441322251953,3932.9546066763155,720.0201690639486,615.4665465116976,3.658639807119412,5.57865901656215,1.8462055617024324,1.7839610043817322,0.035338909991479116,0.03641507708968085,0.26645838020158685,0.21542264280460208,0.0,0.0,0.0,0.0,4.7,0,4.9,280,8.7,0.71
Heavy,2005,1006,3/2/2005,5742.29441775289,4319.692897110833,727.035271985096,695.5662486569628,3.98770445677284,6.127223967533096,1.8641930050899898,2.016134054078153,0.06385726355160311,0.059424267681271674,0.33707084474194937,0.17544390904118756,0.0,0.0,0.0,0.0,4.7,0,5.2,282,7,0.6
Heavy,2005,1006,3/3/2005,4813.353021479891,3565.509766075875,758.4941899408335,489.3490654631821,3.342606264916591,5.057460661100532,1.9448568972841884,1.4184030882990786,0.046440367250749744,0.05935340450904549,0.14114691674802685,0.27762609581262576,0.0,0.0,0.0,0.0,4.7,0,5.4,300,7,0.5
Heavy,2005,1006,3/4/2005,7214.838929820891,6188.4451362016425,603.9613845892898,422.4324090299561,5.010304812375619,8.777936363406585,1.5486189348443327,1.2244417653042206,0.0769411348032029,0.10424161948431354,0.2554386431878627,0.25727774213827126,7.986111111111111,16.312056737588655,0.0,0.0,4.7,0,5.9,278,8.3,0.38
