Pixel,Northing,Easting
662,3626097.378,540587.2045
663,3625287.378,538127.2045
664,3627357.378,540947.2045
665,3629487.378,543707.2045
666,3630237.378,544367.2045
667,3627327.378,542447.2045
668,3625857.378,540647.2045
669,3628407.378,545477.2045
670,3626397.378,544967.2045
671,3626997.451,548619.6058
672,3626247.378,546797.2045
673,3626187.378,545117.2045
674,3627447.378,540077.2045
675,3625587.378,539897.2045
676,3625647.378,540017.2045
677,3629307.378,547367.2045
678,3628347.378,545177.2045
679,3625977.378,544727.2045
680,3628167.378,540617.2045
681,3625467.378,547547.2045
682,3625767.378,548087.2045
683,3627387.378,542537.2045
684,3627207.378,546557.2045
685,3627177.378,548477.2045
686,3625677.378,544997.2045
687,3625677.378,540977.2045
688,3624027.378,543197.2045
689,3627957.378,547427.2045
690,3626997.378,541247.2045
691,3627297.378,547787.2045
692,3628617.378,547067.2045
693,3625437.378,539777.2045
694,3627237.378,545957.2045
695,3625407.378,542597.2045
696,3625737.378,539327.2045
697,3628017.378,542957.2045
698,3626337.378,541097.2045
699,3628947.378,543377.2045
700,3627717.378,542327.2045
701,3625617.378,538907.2045
702,3625287.378,539117.2045
703,3627267.378,546437.2045
704,3628317.378,541457.2045
705,3627027.378,538787.2045
706,3623307.378,541157.2045
707,3628617.378,546167.2045
708,3628917.378,546797.2045
709,3625527.378,547607.2045
710,3626457.378,540197.2045
711,3630537.378,544247.2045
712,3629157.378,548117.2045
713,3627177.378,542237.2045
714,3625797.378,540347.2045
715,3625587.378,544127.2045
716,3625377.378,546107.2045
717,3627147.378,545147.2045
718,3624267.378,546467.2045
719,3626187.378,541457.2045
720,3625977.378,547277.2045
721,3626397.378,537677.2045
722,3625407.378,542267.2045
723,3625887.378,546287.2045
724,3625557.378,542807.2045
725,3624207.378,547817.2045
726,3630387.378,541337.2045
727,3626277.378,546887.2045
728,3625347.378,539297.2045
729,3623997.378,539717.2045
730,3626007.378,537527.2045
731,3628497.378,547517.2045
732,3624567.378,545357.2045
733,3625077.378,537767.2045
734,3625407.378,547187.2045
735,3626037.378,543047.2045
736,3626157.378,539927.2045
737,3625947.378,538277.2045
738,3628137.378,542657.2045
739,3627027.378,543827.2045
740,3627417.378,541247.2045
741,3627447.378,539777.2045
742,3626217.378,547427.2045
743,3626277.378,544877.2045
744,3625887.378,542027.2045
745,3628737.378,546047.2045
746,3625797.378,540227.2045
747,3625737.378,539837.2045
748,3627447.378,546887.2045
749,3625497.378,541067.2045
750,3626427.378,539057.2045
751,3626787.378,543017.2045
752,3630417.378,544997.2045
753,3623997.378,539927.2045
754,3625527.378,544667.2045
755,3626097.378,539897.2045
756,3626997.378,544907.2045
757,3624117.378,546257.2045
758,3625347.378,548237.2045
759,3627867.378,543317.2045
760,3623217.378,541757.2045
761,3627297.378,540467.2045
762,3626757.378,546047.2045
763,3625557.378,545777.2045
764,3625587.378,547847.2045
765,3625557.378,546497.2045
766,3628947.378,540257.2045
767,3624597.378,540107.2045
768,3626877.378,541997.2045
769,3630177.378,543887.2045
770,3624537.378,546977.2045
771,3625287.378,540317.2045
772,3628677.378,542507.2045
773,3626037.378,545597.2045
774,3628257.378,543677.2045
775,3628677.378,542387.2045
776,3625797.378,542837.2045
777,3627087.378,538517.2045
778,3627807.378,541157.2045
779,3625347.378,539357.2045
780,3628137.378,542777.2045
781,3630927.378,542687.2045
782,3627327.378,547067.2045
783,3625707.378,538037.2045
784,3627957.378,545357.2045
785,3625317.378,539537.2045
786,3623217.378,541037.2045
787,3627957.378,541637.2045
788,3630447.378,542297.2045
789,3625347.378,544067.2045
790,3627057.378,538697.2045
791,3627507.378,547367.2045
792,3627957.378,548207.2045
793,3627987.378,541727.2045
794,3626157.378,541967.2045
795,3628887.378,546407.2045
796,3626577.378,537827.2045
797,3626817.378,542417.2045
798,3626997.378,540377.2045
799,3626487.378,546407.2045
800,3625977.378,547697.2045
801,3623277.378,545387.2045
802,3628437.378,539417.2045
803,3625947.378,538487.2045
804,3628077.378,547217.2045
805,3626337.378,547937.2045
806,3626097.378,542057.2045
807,3623967.378,544187.2045
808,3624507.378,547217.2045
809,3626007.378,541127.2045
810,3627267.378,540017.2045
811,3627717.378,540347.2045
812,3629187.378,543077.2045
813,3625887.378,543077.2045
814,3627927.378,539837.2045
815,3625857.378,537917.2045
816,3628647.378,544037.2045
817,3625407.378,543587.2045
818,3625977.378,543917.2045
819,3627777.378,546857.2045
820,3623787.378,546227.2045
821,3626307.378,545537.2045
822,3625677.378,543887.2045
823,3625557.378,540227.2045
824,3628647.378,546707.2045
825,3627927.378,540557.2045
826,3627267.378,547007.2045
827,3625377.378,541817.2045
828,3626397.378,539027.2045
829,3625377.378,539357.2045
830,3628797.378,542297.2045
831,3625677.378,538817.2045
832,3625437.378,548177.2045
833,3625887.378,543887.2045
834,3627897.378,547637.2045
835,3628017.378,545297.2045
836,3625707.378,538577.2045
837,3627267.378,545477.2045
838,3623367.378,542777.2045
839,3628047.378,548417.2045
840,3625857.378,544667.2045
841,3626067.378,540677.2045
842,3625557.378,544907.2045
843,3627807.378,547637.2045
844,3626067.378,539927.2045
845,3626637.378,546137.2045
846,3625317.378,548507.2045
847,3625797.378,541007.2045
848,3630867.378,544937.2045
849,3625827.378,538097.2045
850,3626667.378,538277.2045
851,3626217.378,548177.2045
852,3627927.378,538907.2045
853,3627117.378,539477.2045
854,3625467.378,540737.2045
855,3625317.378,546497.2045
856,3627597.378,541607.2045
857,3625827.378,546467.2045
858,3627477.378,540827.2045
859,3628587.378,548027.2045
860,3625407.378,538577.2045
861,3628797.378,543467.2045
862,3625737.378,546197.2045
863,3623517.378,544037.2045
864,3625287.378,543107.2045
865,3629097.378,545417.2045
866,3627057.378,542687.2045
867,3628797.378,539597.2045
868,3626067.378,542717.2045
869,3625467.378,538577.2045
870,3627687.378,539267.2045
871,3626067.378,543047.2045
872,3625407.378,542237.2045
873,3625377.378,538157.2045
874,3625137.378,539207.2045
875,3625617.378,547877.2045
876,3625467.378,538457.2045
877,3625467.378,540017.2045
878,3629337.378,543347.2045
879,3627087.378,545507.2045
880,3627057.378,547697.2045
881,3625857.378,548477.2045
882,3625977.378,539567.2045
883,3625497.378,541907.2045
884,3627807.378,542267.2045
885,3625557.378,542777.2045
886,3628767.378,541607.2045
887,3625347.378,545267.2045
888,3626187.378,538877.2045
889,3625527.378,547697.2045
890,3624837.378,541757.2045
891,3625707.378,546077.2045
892,3626877.378,537977.2045
893,3626487.378,541367.2045
894,3626367.378,538487.2045
895,3623427.378,545957.2045
896,3627357.378,539837.2045
897,3626937.378,543737.2045
898,3628797.378,544637.2045
899,3627447.378,540107.2045
900,3628197.378,546587.2045
901,3624477.378,542447.2045
902,3625827.378,542867.2045
903,3625827.378,540737.2045
904,3626937.378,542507.2045
905,3627657.378,546737.2045
906,3626037.378,543767.2045
907,3626997.378,541487.2045
908,3628437.378,548147.2045
909,3625557.378,541517.2045
910,3625467.378,544097.2045
911,3625137.378,543257.2045
912,3625497.378,539117.2045
913,3627807.378,538787.2045
914,3627777.378,546587.2045
915,3627807.378,542357.2045
916,3625317.378,539987.2045
917,3626007.378,544427.2045
918,3627627.378,544817.2045
919,3626367.378,548357.2045
920,3626127.378,541697.2045
921,3627867.378,548147.2045
922,3628827.378,548627.2045
923,3625497.378,541217.2045
924,3628947.378,543797.2045
925,3626787.378,541067.2045
926,3625287.378,542117.2045
927,3624717.378,544937.2045
928,3627597.378,546377.2045
929,3625617.378,540647.2045
930,3625917.378,545777.2045
931,3626307.378,543347.2045
932,3622827.378,540467.2045
933,3626337.378,543107.2045
934,3627447.378,542987.2045
935,3628527.378,544877.2045
936,3625827.378,542897.2045
937,3627837.378,548057.2045
938,3628257.378,542357.2045
939,3629067.378,540017.2045
940,3626307.378,543677.2045
941,3627327.378,542237.2045
942,3625707.378,541487.2045
943,3623637.378,544517.2045
944,3627027.378,538367.2045
945,3626487.378,547007.2045
946,3625437.378,541907.2045
947,3626697.378,539687.2045
948,3627567.378,543407.2045
949,3625647.378,543647.2045
950,3625887.378,540977.2045
951,3624207.378,539267.2045
952,3626187.378,541937.2045
953,3626007.378,547427.2045
954,3626637.378,538967.2045
955,3626937.378,540077.2045
956,3628317.378,545087.2045
957,3628827.378,542087.2045
958,3626937.378,542747.2045
959,3625677.378,542657.2045
960,3627297.378,548297.2045
961,3625437.378,541487.2045
962,3626127.378,544997.2045
963,3625827.378,540887.2045
964,3627477.378,542777.2045
965,3628197.378,547517.2045
966,3624177.378,539837.2045
967,3625737.378,548117.2045
968,3626307.378,545177.2045
969,3626907.378,542477.2045
970,3625977.378,540077.2045
971,3626217.378,548207.2045
972,3630597.378,543737.2045
973,3627387.378,546917.2045
974,3627177.378,545927.2045
975,3627327.378,540467.2045
976,3627177.378,546617.2045
977,3630117.378,543377.2045
978,3626217.378,541607.2045
979,3626007.378,546887.2045
980,3625857.378,540407.2045
981,3626517.378,545207.2045
982,3627447.378,539537.2045
983,3625977.378,541007.2045
984,3625437.378,541847.2045
985,3625557.378,538877.2045
986,3625377.378,543587.2045
987,3627687.378,544937.2045
988,3625827.378,547487.2045
989,3626637.378,543917.2045
990,3626157.378,546377.2045
991,3624807.378,542477.2045
992,3627207.378,543137.2045
993,3625917.378,537887.2045
994,3624087.378,543677.2045
995,3628197.378,541577.2045
